"Time","Valence","Arousal"
"0.51","-0.18","-0.11"
"1.05","-0.18","-0.09"
"1.53","-0.24","0.05"
"2.02","-0.23","0.07"
"2.52","0.07","0.22"
"3.04","0.07","0.22"
"3.54","0.16","0.1"
"4.05","0.17","0.05"
"4.55","0.2","-0.06"
"5.06","0.18","-0.13"
"5.56","0.16","-0.2"
"6.06","0.09","-0.28"
"6.56","0.08","-0.38"
"7.07","0.09","-0.41"
"7.59","0.14","-0.5"
"8.1","0.1","-0.58"
"8.59","0.0","-0.64"
"9.08","-0.15","-0.63"
"9.59","-0.27","-0.63"
"10.11","-0.46","-0.55"
"10.61","-0.55","-0.45"
"11.11","-0.59","-0.32"
"11.62","-0.61","-0.19"
"12.12","-0.63","-0.05"
"12.64","-0.64","0.06"
"13.15","-0.63","0.24"
"13.65","-0.53","0.5"
"14.15","-0.43","0.63"
"14.65","-0.39","0.7"
"15.16","-0.27","0.74"
"15.67","-0.11","0.63"
"16.17","0.05","0.57"
"16.67","0.23","0.53"
"17.17","0.33","0.54"
"17.68","0.4","0.58"
"18.18","0.46","0.6"
"18.69","0.53","0.57"
"19.2","0.61","0.44"
"19.69","0.64","0.36"
"20.2","0.69","0.2"
"20.73","0.7","0.11"
"21.22","0.7","0.0"
"21.72","0.7","-0.06"
"22.22","0.71","-0.12"
"22.72","0.72","-0.18"
"23.24","0.73","-0.26"
"23.73","0.71","-0.32"
"24.23","0.64","-0.44"
"24.74","0.5","-0.56"
"25.24","0.4","-0.62"
"25.74","0.32","-0.67"
"26.25","0.19","-0.74"
"26.75","0.08","-0.77"
"27.25","-0.03","-0.8"
"27.76","-0.18","-0.82"
"28.26","-0.27","-0.82"
"28.77","-0.35","-0.79"
"29.28","-0.44","-0.75"
"29.81","-0.52","-0.7"
"30.29","-0.59","-0.65"
